Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2226515;Minta;Minta;Minta;P;PPL;CM;Cameroon;;11;;;;4934;;667;Africa/Douala;2014-04-05;Cameroon;4.58333,12.8
2228373;Maroua;Maroua;MVR,Maroua,Marua,Marva,ma lu a,malua,marua,marwa,Μαρουά,Маруа,مارؤا,マルア,马鲁阿,마루아;P;PPLA;CM;Cameroon;;12;;;;319941;;406;Africa/Douala;2012-01-16;Cameroon;10.59095,14.31593
2234663;Batouri;Batouri;Batouri,Baturi,OUR;P;PPL;CM;Cameroon;;04;;;;43821;;631;Africa/Douala;2012-01-16;Cameroon;4.43333,14.36667
2223763;Nkongsamba;Nkongsamba;NKS,Nkongsamba,Nkongsomba,Нконгсамба;P;PPL;CM;Cameroon;;05;;;;117063;;844;Africa/Douala;2012-01-16;Cameroon;4.9547,9.9404
2229798;Kousséri;Kousseri;Fort Fureau,Fort-Foureau,Kousseri,Kousséri,Kusseri,alqswr‎,fwr fwrw,kwsyry,qswr,القصور‎,فور فورو,قصور,كوسيري;P;PPL;CM;Cameroon;;12;;;;435547;;300;Africa/Douala;2020-06-10;Cameroon;12.07689,15.03063
2234635;Bazou;Bazou;Bazou;P;PPL;CM;Cameroon;;08;;;;13058;;1206;Africa/Douala;2013-07-04;Cameroon;5.06001,10.46751
2226441;Mme-Bafumen;Mme-Bafumen;Me,Mme,Mme-Bafumen;P;PPL;CM;Cameroon;;07;;;;6149;;1403;Africa/Douala;2012-01-16;Cameroon;6.33333,10.23333
2232283;Ébolowa;Ebolowa;EBW,Ebolova,Ebolowa,Ébolowa;P;PPLA;CM;Cameroon;;14;;;;87875;;583;Africa/Douala;2020-06-10;Cameroon;2.9,11.15
2232497;Doumé;Doume;Doume,Doumé,Dume,Dume-Station;P;PPL;CM;Cameroon;;04;;;;5581;;630;Africa/Douala;2020-06-10;Cameroon;4.23333,13.45
2235029;Bali;Bali;BLC,Bali,Бали;P;PPL;CM;Cameroon;;07;;;;72606;;1355;Africa/Douala;2014-06-04;Cameroon;5.88737,10.01176
2223162;Ombésa;Ombesa;Ombesa,Ombessa,Ombésa;P;PPL;CM;Cameroon;;11;;;;1833;;459;Africa/Douala;2020-06-10;Cameroon;4.6,11.25
2223226;Okoa;Okoa;Okoa,Scho,So,Soa;P;PPL;CM;Cameroon;;11;;;;3358;;656;Africa/Douala;2012-01-16;Cameroon;3.98333,11.6
2229748;Kumbo;Kumbo;Kumbo;P;PPL;CM;Cameroon;;07;;;;53970;;1687;Africa/Douala;2012-01-16;Cameroon;6.2,10.66667
2234684;Batibo;Batibo;Batibo;P;PPL;CM;Cameroon;;07;;;;9163;;1090;Africa/Douala;2018-11-05;Cameroon;5.8358,9.8553
2234842;Ngou;Ngou;Bangou,Banjou,Ngou;P;PPL;CM;Cameroon;;08;;;;7560;;1441;Africa/Douala;2013-07-04;Cameroon;5.19685,10.38595
2234941;Bamusso;Bamusso;Bamuso,Bamusso;P;PPL;CM;Cameroon;;09;;;;24741;;8;Africa/Douala;2012-01-16;Cameroon;4.4591,8.9027
2235293;Babanki;Babanki;Babanki,Big Babanki;P;PPL;CM;Cameroon;;07;;;;9851;;1156;Africa/Douala;2012-01-16;Cameroon;6.11667,10.25
2220853;Yokadouma;Yokadouma;Yokadouma,Youkadouma;P;PPL;CM;Cameroon;;04;;;;13287;;523;Africa/Douala;2012-01-16;Cameroon;3.51667,15.05
2230599;Kaélé;Kaele;KLE;P;PPL;CM;Cameroon;;12;;;;25199;;373;Africa/Douala;2018-11-02;Cameroon;10.10917,14.45083
2231881;Eséka;Eseka;Eseka,Eséka;P;PPL;CM;Cameroon;;11;;;;22221;;247;Africa/Douala;2012-01-16;Cameroon;3.65,10.76667
2234936;Bana;Bana;Bana;P;PPL;CM;Cameroon;;08;;;;5727;;1415;Africa/Douala;2013-07-04;Cameroon;5.14655,10.27545
2224212;Njinikom;Njinikom;Njinikom,Njnikom;P;PPL;CM;Cameroon;;07;;;;8247;;1315;Africa/Douala;2012-01-16;Cameroon;6.23333,10.28333
2233704;Bonabéri;Bonaberi;Bonabeerie,Bonaberi,Bonabéri,Boniberi,Bouaberi;P;PPL;CM;Cameroon;;05;;;;8091;;6;Africa/Douala;2018-01-22;Cameroon;4.07142,9.68177
2224827;Ngaoundéré;Ngaoundere;NGE,Ngaoundere,Ngaoundéré,Ngaundere,Ngaunderė,en gang dai lei,eung-gaundele,nugaundere,Нгаундере,نگاؤندیرے,ヌガウンデレ,恩冈代雷,응가운데레;P;PPLA;CM;Cameroon;;10;;;;231357;;1128;Africa/Douala;2013-10-22;Cameroon;7.32765,13.58472
2234520;Bélel;Belel;Belel,Bélel;P;PPL;CM;Cameroon;;10;;;;6831;;1448;Africa/Douala;2012-01-16;Cameroon;7.05,14.43333
2227230;Melong;Melong;Melong;P;PPL;CM;Cameroon;;05;;;;37086;;792;Africa/Douala;2014-04-05;Cameroon;5.12181,9.96143
2228005;Mbanga;Mbanga;M'Bange,Mbanga,M’Bangé;P;PPL;CM;Cameroon;;05;;;;42590;;115;Africa/Douala;2012-01-16;Cameroon;4.5016,9.5671
2229752;Kumba;Kumba;Kumba,Kumboj,Кумбой;P;PPL;CM;Cameroon;;09;;;;144413;;244;Africa/Douala;2012-01-16;Cameroon;4.6363,9.4469
2230641;Jakiri;Jakiri;Jakiri;P;PPL;CM;Cameroon;;07;;;;5269;;1609;Africa/Douala;2012-01-16;Cameroon;6.1,10.65
2231482;Fundong;Fundong;Fundong;P;PPL;CM;Cameroon;;07;;;;43509;;1610;Africa/Douala;2012-01-16;Cameroon;6.25,10.26667
2231564;Fontem;Fontem;Fontem;P;PPL;CM;Cameroon;;09;;;;42689;;902;Africa/Douala;2016-03-09;Cameroon;5.4685,9.8818
2234359;Bertoua;Bertoua;BTA,Bertoua,Bertua,Bertva,Gamane,bei er tu a,beleutua,berutoua,bytwa,Μπερτουά,Бертуа,بیتؤا,ベルトゥア,贝尔图阿,베르투아;P;PPLA;CM;Cameroon;;04;;;;218111;;665;Africa/Douala;2012-04-07;Cameroon;4.57728,13.68459
2235660;Ambam;Ambam;Ambam;P;PPL;CM;Cameroon;;14;;;;8476;;570;Africa/Douala;2012-01-16;Cameroon;2.38333,11.28333
2222623;Penja;Penja;Penja;P;PPL;CM;Cameroon;;05;;;;28406;;148;Africa/Douala;2012-01-16;Cameroon;4.63911,9.67987
2225726;Muyuka;Muyuka;Mouyouka,Muyuka;P;PPL;CM;Cameroon;;09;;;;31384;;41;Africa/Douala;2018-10-12;Cameroon;4.2898,9.4103
2231775;Évodoula;Evodoula;Evodoula,Évodoula;P;PPL;CM;Cameroon;;11;;;;1521;;562;Africa/Douala;2012-01-16;Cameroon;4.08333,11.2
